"HolderAddress","Quantity","PendingBalanceUpdate"
"0x227c7df69d3ed1ae7574a1a7685fded90292eb48","1275","No"
"0x35b5d0398429785e5071560252e8a33d0bd57248","146","No"
"0xb520f068a908a1782a543aacc3847adb77a04778","142","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","138","No"
"0x2d50bf6334152dbda8bed2f50e5a0d8456bd47b3","103","No"
"0x9a20cfcdc25eab32b8d21fbf8dab66f2658b791e","102","No"
"0x76bbd639c87aac623aad1c3b648e6187a9392dea","100","No"
"0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d","73","No"
"0xb35248feeb246b850fac690a1beaf5130dc71894","69","No"
"0xb4d7b67215fbf3b44acbc8a660004b1ada5f6229","63","No"
"0xee3ab20b766eae862476bb318ba71e4a4f91898c","61","No"
"0x4dbd3f2fc7bdffe2657f8916ad05eaca21344d38","55","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","53","No"
"0x0d19d161ac8b2b1b0677b4fbbf2e46c8298d075e","51","No"
"0xddf785b09d9273756d09ee866e1e0a442e3da14a","50","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","49","No"
"0xc7598e5f348a33cd8d5e5ef087f59305255960c2","49","No"
"0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3","46","No"
"0xd6813048eaed9dc064fd08eeea408a7ec4df0021","45","No"
"0x9cbf099ff424979439dfba03f00b5961784c06ce","44","No"
"0xca41a5fccf73d0793bdf8657ed4010ec40f10f2c","43","No"
"0xcb9cadd85c510ff5a4fb2d2bb6fb4b74ff3aee34","40","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","39","No"
"0x91f893a1859b79a6b36c2936c24b016a680c42c2","39","No"
"0x537bf75de19f3d229e3a9018ee1a23c0c9c7d39c","38","No"
"0x6ade4b0aee249ff108da1ff39280ec1e46138f63","38","No"
"0xcc7ac869585106fb03911070a1eeb816f13d48d1","35","No"
"0x05e2461c8c10138aee241268f28de6003d3dbadb","35","No"
"0xd4e3a3cb39c4f93cb4c87090f0c79787ea36ea27","34","No"
"0xf1841d02a6f70820654d914375f8d1d7b66304ea","32","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","30","No"
"0x7ba6527419152e17d78daccbb89a51ab71c8d200","30","No"
"0xe28b960e11a438f57d40f3ee64266d2acc4707a2","29","No"
"0x37b9f3b921012d7ce2e181aea99af6d4dd22ada5","28","No"
"0x6764090259f95640563e999e386e742c2935a633","28","No"
"0x77f6821146cce5993282d940eef472c4b09d7537","28","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","26","No"
"0xb5e1532b054226d92913b40da22a01b7900ec96e","26","No"
"0x67f72412a592d066a2e688e62664116deabeab29","26","No"
"0x8e98e11e525521e00dbdb16f7e1635ac1688b3c2","25","No"
"0xa9d93a5cca9c98512c8c56547866b1db09090326","25","No"
"0x57524efc73e194e4f19dc1606fb7a3e1dbf719b3","25","No"
"0x4417d65453e426c55e1614d600466e8439745292","25","No"
"0xd75305c70257b1a78641ff42e0ea15b10054de0a","24","No"
"0x85074968d0ff84f4a0ccc6ee50327ed8f7a8ef32","24","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","23","No"
"0xa0506d623ea4cce494f38c25b1ff47e823b120f9","23","No"
"0xd67360166baf50bd81bf7972ae5a4bc105e79f2a","23","No"
"0xde923df474661ddf3727c913ebfee3df0b37beb8","23","No"
"0x88f516c04969f470888473458b5e09342da08b7a","23","No"
"0x0da47666a8311250c7fa713250a828307fe933fe","23","No"
"0xb0c26305d4f4ef63f97b7d58010bbff3ce9b36b3","22","No"
"0x33a58b7a1f46aa945993302f0a7a812888c35dd4","22","No"
"0x000000000000000000000000000000000000dead","21","No"
"0x5afce9c50060c69fd99b0b4ebd3f397da2fffb7f","21","No"
"0xca04e939a0ac0626c4a4299735e353e8dc5ef3ec","21","No"
"0x2964719b5307171036b26937c8137a1dfefa5bc8","21","No"
"0x1668c9725e27bf5943bbd43886e1fb5afe75c46c","20","No"
"0x09d4083ffd20d21acb9118465ad7c52ac8b548f7","20","No"
"0xc46bfd225ad359f78c7fe84d50619977c6b7f318","20","No"
"0xb88f61e6fbda83fbfffabe364112137480398018","20","No"
"0xe0f9db6371b697906117de41b218d13e64798ba3","20","No"
"0x78d8e8807f652b54afe33b7645a26c5ffae5291c","20","No"
"0xab13c76a8f158b9274b859ed677f97a7f97de6c4","19","No"
"0x087f2606ac8c88471ab9b011a5338c1be0f6f650","19","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","19","No"
"0x9f75c7c19ffeb95b47e62b2c37ffae12de759485","19","No"
"0x6c65fb326e7734ba5508b5d043718288b43b9ed9","18","No"
"0xeb7a12fe169c98748eb20ce8286eaccf4876643b","18","No"
"0x91b80a7283e67db172241c393d6fa7b927ff4007","18","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","17","No"
"0x5021ca11545bb39adea9cf8cbbeee9c3182a5c36","17","No"
"0xf6a9dc9a41e8817fbc86532d53d89ca80d9aa46b","17","No"
"0xdc916b7a282507126690a3d7a6fdcef115ce969e","17","No"
"0x9c5083dd4838e120dbeac44c052179692aa5dac5","17","No"
"0x613cb17815104287c6412b241836b5778f6b0505","17","No"
"0x21af5166e41dc3371d062131af9d6a25e0f5c7d1","16","No"
"0x87e386cedb82cf8f080b3505adae1ef699e65057","16","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","16","No"
"0x78737732ae34cba60a3f0a6d05feb8fcf6df7a09","16","No"
"0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db","16","No"
"0xd6437521a5c8c868f818398ad64b1db0bce604c9","15","No"
"0x8a32af4affd816978c2fdfa7c08c27681d05d4fe","15","No"
